Wallet,Farm,Pid,Amount,Formatted Amount,Token,Symbol,Accumulated Reward Per Share,RewardDebt,Pending ORI,Pending JUMP,Formatted Pending ORI,Formatted Pending JUMP
0x0003ec4b0D6c6F067E42a50800A14808282d1B34,0x90Df158ff7c31aD1d81ddDb1D8ab9d0eCBCeDa20,2,24176682279518565,0.024176682279518562,0x483D07BC99CdD1DF66F64aE0A769A70725C46fA4,HLP,8815332585594,484848880823702,212640646229369300,42528129245873864,0.21264064622936932,0.04252812924587386
0x00042c520A179EBf382669771bE7F60BaA9A7c00,0x90Df158ff7c31aD1d81ddDb1D8ab9d0eCBCeDa20,3,86695189181449,0.000086695189181449,0x50Cc648E45B84D68405BA0707e94c507b08e593d,HLP,10897474520472299023,253867937239816000417,690890677912550200000,138178135582510060000,690.8906779125502,138.17813558251007
0x00462A7AA79517cEbA8B413fC285f3aD2940CeD2,0x90Df158ff7c31aD1d81ddDb1D8ab9d0eCBCeDa20,2,48733058495357206,0.04873305849535721,0x483D07BC99CdD1DF66F64aE0A769A70725C46fA4,HLP,8815332585594,861344580367803,428736773969413060,85747354793882610,0.42873677396941307,0.08574735479388261
0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,0x90Df158ff7c31aD1d81ddDb1D8ab9d0eCBCeDa20,1,138428182349017058097,138.42818234901705,0x0433305Ae161d28eD1408D11581610339dfC9BE4,HLP,14210101303971,699196250816946883668,1.2678822436871558e+21,253576448737431160000,1267.8822436871558,253.57644873743115
0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,0x90Df158ff7c31aD1d81ddDb1D8ab9d0eCBCeDa20,8,163867225393669,0.000163867225393669,0xF70a9Af9f581c2F752Acc779148712c43E58d2f0,HLP,14454467689890940716,143317521271067481027,2.2252959936137973e+21,445059198722759460000,2225.2959936137972,445.05919872275945
0x0081FdBD9d65F67438e6f76a903f51899aA33a74,0x90Df158ff7c31aD1d81ddDb1D8ab9d0eCBCeDa20,2,51863608404002156,0.05186360840400216,0x483D07BC99CdD1DF66F64aE0A769A70725C46fA4,HLP,8815332585594,867484838492998,456327472331794050,91265494466358820,0.45632747233179405,0.09126549446635882
0x0093f6E479b9f45c9dFF3c5F28d7FA495c9195A3,0x90Df158ff7c31aD1d81ddDb1D8ab9d0eCBCeDa20,1,39443117,3.9443117e-11,0x0433305Ae161d28eD1408D11581610339dfC9BE4,HLP,14210101303971,159646057,400844631.31438076,80168926.26287615,4.0084463131438077e-10,8.016892626287616e-11
0x009F3217d06CD9A879C02Ce08E4b5A25C5951e55,0x90Df158ff7c31aD1d81ddDb1D8ab9d0eCBCeDa20,1,39443117,3.9443117e-11,0x0433305Ae161d28eD1408D11581610339dfC9BE4,HLP,14210101303971,159656853,400833835.31438076,80166767.06287615,4.0083383531438077e-10,8.016676706287615e-11
0x00a86C638713378da67b9c785bDD8B33D20B1A20,0x90Df158ff7c31aD1d81ddDb1D8ab9d0eCBCeDa20,2,12870000000000000000,12.87,0x483D07BC99CdD1DF66F64aE0A769A70725C46fA4,HLP,8815332585594,1831675027422240000,111621655349172540000,22324331069834506000,111.62165534917254,22.324331069834507
0x00e7D041C6718d33eB885eDA505f6D3F82dC4bE5,0x90Df158ff7c31aD1d81ddDb1D8ab9d0eCBCeDa20,1,338336309324158906,0.3383363093241589,0x0433305Ae161d28eD1408D11581610339dfC9BE4,HLP,14210101303971,1461941104350994942,3345852125956971000,669170425191394200,3.345852125956971,0.6691704251913941
