Wallet,Pending ORI,Pending JUMP,Formatted Pending ORI,Formatted Pending JUMP
0x0003ec4b0D6c6F067E42a50800A14808282d1B34,212640646229369300,42528129245873864,0.21264064622936932,0.04252812924587386
0x00042c520A179EBf382669771bE7F60BaA9A7c00,690890677912550200000,138178135582510060000,690.8906779125502,138.17813558251007
0x00462A7AA79517cEbA8B413fC285f3aD2940CeD2,428736773969413060,85747354793882610,0.42873677396941307,0.08574735479388261
0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,3.4931782373009533e+21,698635647460190700000,3493.1782373009532,698.6356474601907
0x0081FdBD9d65F67438e6f76a903f51899aA33a74,456327472331794050,91265494466358820,0.45632747233179405,0.09126549446635882
0x0093f6E479b9f45c9dFF3c5F28d7FA495c9195A3,400844631.31438076,80168926.26287615,4.0084463131438077e-10,8.016892626287616e-11
0x009F3217d06CD9A879C02Ce08E4b5A25C5951e55,400833835.31438076,80166767.06287615,4.0083383531438077e-10,8.016676706287615e-11
0x00a86C638713378da67b9c785bDD8B33D20B1A20,111621655349172540000,22324331069834506000,111.62165534917254,22.324331069834507
0x00e7D041C6718d33eB885eDA505f6D3F82dC4bE5,3345852125956971000,669170425191394200,3.345852125956971,0.6691704251913941
0x013a5b01f4c5B7B4e8051B901a513ec8F094BF97,32627356455927636000,6525471291185527000,32.62735645592764,6.525471291185527
0x015E0Fb92B266c4afe21fdF9D5136a5c2BbC5926,400831016.31438076,80166203.26287615,4.0083101631438076e-10,8.016620326287616e-11
0x015fC0f9A30B6353B6eA191D7c4bA6c8AADE92D7,1095754691507386600,219150938301477300,1.0957546915073866,0.2191509383014773
0x0173D4A45aA7B893202475d260fb54D050aFBD55,255604371538274400000,51120874307654880000,255.6043715382744,51.12087430765488
0x0174b0992a5C6Cc8cb55319a3Fbb9994e588AAf6,422320144925307140,84464028985061420,0.4223201449253071,0.08446402898506142
0x01D07347ef0cA54bbf85F03611c93897c8E9D652,639242959997849200000,127848591999569840000,639.2429599978492,127.84859199956983
0x01Dd463f3E0c8944D2050DA3cbbC22B520433708,249424719607414850,49884943921482970,0.24942471960741486,0.04988494392148297
0x01e4A7d29168e8C62Dc1Bc91B9867c78b0304D9b,250037165641802000,50007433128360400,0.250037165641802,0.0500074331283604
0x01Ea4916ef200059DECBbC31B6AF92C1aEf8aA1c,59332055700810190000,11866411140162038000,59.33205570081019,11.866411140162038
